isLocatedIn	0
isConnectedTo	1
worksAt	2
hasWonPrize	3
hasAcademicAdvisor	4
hasCurrency	5
influences	6
dealsWith	7
hasNeighbor	8
directed	9
isLeaderOf	10
isMarriedTo	11
participatedIn	12
hasChild	13
hasCapital	14
actedIn	15
happenedIn	16
hasWebsite	17
playsFor	18
edited	19
wasBornIn	20
isPoliticianOf	21
hasOfficialLanguage	22
exports	23
livesIn	24
hasMusicalRole	25
owns	26
graduatedFrom	27
hasGender	28
isInterestedIn	29
imports	30
wroteMusicFor	31
isAffiliatedTo	32
created	33
isCitizenOf	34
isKnownFor	35
diedIn	36
